ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
PID-1040-GL222__64518	5065741	3826973	1119804	52996	1348	0	117616
PID-1040-GL223__64581	5065741	4589200	437869	1886	651	0	38021
PID-1040-GL224__64574	5065741	4098277	845859	54583	947	0	120658
PID-1040-GL225__64577	5065741	4457381	549220	19044	1220	0	57920
PID-1040-GL227__64546	5065741	4527170	479937	19383	1956	0	56678
PID-1040-GL228__64567	5065741	4338466	668085	20500	621	0	58569
PID-1040-GL229__64539	5065741	4532712	482302	19022	1788	0	48939
PID-1040-GL231__64491	5065741	4227194	769718	25859	755	0	68074
PID-1040-GL232__64538	5065741	4517964	493168	19582	966	0	53643
PID-1040-GL234__65230	5065741	3918134	776215	27169	61037	0	310355
PID-1063-GL230__67565	5065741	4608311	405752	13441	966	0	50712
PID-1063-GL233__67569	5065741	4476724	523787	13119	1677	0	63553
PID-1063-GL234__67572	5065741	3787190	1163060	34167	190	0	115301
PID-1063-GL235__67563	5065741	4357389	652727	13134	554	0	55071
PID-1063-GL236__67567	5065741	4378688	627066	13464	1541	0	58446
PID-1063-GL237__67566	5065741	4313218	709747	13382	312	0	42464
PID-1063-GL238__67560	5065741	4176829	691293	10389	103217	0	94402
PID-1063-GL239__67571	5065741	3792649	1150652	26508	263	0	122177
PID-1063-GL243__67561	5065741	4495785	512109	8174	1687	0	56160
PID-1063-GL244__67568	5065741	4206296	791415	12339	1275	0	66755
PID-1063-GL245__67564	5065741	3820631	1124220	26467	310	0	120580
PID-1063-GL246__67562	5065741	4520678	479502	8298	2177	0	63384
PID-1063-GL247__67570	5065741	4538435	455937	8301	2279	0	69090
PID-1159-GL10__69639	5065741	3831537	1122093	24461	362	0	111749
PID-1159-GL11__69648	5065741	3816574	1126111	26223	416	0	122640
PID-1159-GL123__69645	5065741	4528661	481600	9324	1362	0	54118
PID-1159-GL124__69646	5065741	4510590	509245	1508	1507	0	44399
PID-1159-GL125__69652	5065741	4506662	499290	8304	1736	0	58053
PID-1159-GL126__69644	5065741	4391116	612191	9494	1304	0	61130
PID-1159-GL128__69707	5065741	3781807	1171455	26162	365	0	112114
PID-1159-GL12__69654	5065741	4538280	470463	9038	1433	0	55565
PID-1159-GL13__69696	5065741	3773812	1164909	25818	557	0	126463
PID-1159-GL14__69701	5065741	4284518	708087	12494	1079	0	72057
PID-1159-GL159__69656	5065741	3782918	1169169	22209	379	0	113275
PID-1159-GL16__69651	5065741	3934575	1012204	23504	1898	0	117064
PID-1159-GL191__69734	5065741	4039791	937631	20595	475	0	87844
PID-1159-GL194__69717	5065741	4219711	768065	12626	844	0	77121
PID-1159-GL196__69641	5065741	3902544	1052626	23486	648	0	109923
PID-1159-GL203__69657	5065741	3690070	1259128	24334	326	0	116217
PID-1159-GL205__69640	5065741	4586330	430778	8598	1224	0	47409
PID-1159-GL20__69729	5065741	3813621	1135219	25541	423	0	116478
PID-1159-GL211__69699	5065741	4659370	368538	810	659	0	37174
PID-1159-GL213__69643	5065741	3949459	1006645	23455	975	0	108662
PID-1159-GL214__69655	5065741	3971555	981660	23032	764	0	111762
PID-1159-GL218__69653	5065741	4180694	588459	7122	37091	0	259497
PID-1159-GL226__69695	5065741	4467686	538233	6424	1568	0	58254
PID-1159-GL240__69647	5065741	3793402	1149515	22014	181	0	122643
PID-1159-GL2__69642	5065741	4484948	513276	6687	1509	0	66008
PID-1159-GL3__69649	5065741	3840382	1119923	20099	211	0	105225
PID-1159-GL55__69722	5065741	4325760	679459	8194	955	0	59567
PID-1159-GL6__69712	5065741	4385484	620869	7803	1366	0	58022
PID-1159-GL7__69697	5065741	4410600	592582	7806	1277	0	61282
PID-1159-GL8__69650	5065741	3821653	1122400	21986	247	0	121441
